device_code,source,price,unit,url,scraped_at
COMP-OUTLET-16A,HomePro,339.0,set,https://www.homepro.co.th/search?q=%E0%B9%80%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%9A%2016A,2026-01-27
COMP-DOWNLIGHT-9W,HomePro,57.0,set,https://www.homepro.co.th/search?q=%E0%B8%94%E0%B8%B2%E0%B8%A7%E0%B8%99%E0%B9%8C%E0%B9%84%E0%B8%A5%E0%B8%97%E0%B9%8C%209W,2026-01-27
COMP-CEILING-24W,HomePro,359.0,set,https://www.homepro.co.th/search?q=ceiling%20light%2024W,2026-01-27
COMP-SWITCH-1GANG,HomePro,95.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%A7%E0%B8%B4%E0%B8%95%E0%B8%8A%E0%B9%8C%E0%B9%84%E0%B8%9F%201%20%E0%B8%8A%E0%B9%88%E0%B8%AD%E0%B8%87,2026-01-27
COMP-JUNCTION-BOX,HomePro,20.0,set,https://www.homepro.co.th/search?q=junction%20box,2026-01-27
CB-1P-16A,HomePro,359.0,set,https://www.homepro.co.th/search?q=MCB%2016A%201P,2026-01-27
CB-1P-20A,HomePro,1963.0,set,https://www.homepro.co.th/search?q=MCB%2020A%201P,2026-01-27
CB-1P-32A,HomePro,164.0,set,https://www.homepro.co.th/search?q=%E0%B9%80%E0%B8%9A%E0%B8%A3%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%2032A,2026-01-27
RCBO-1P-20A,HomePro,1470.0,set,https://www.homepro.co.th/search?q=RCBO%2020A,2026-01-27
RCBO-1P-32A,HomePro,1450.0,set,https://www.homepro.co.th/search?q=RCBO%2032A,2026-01-27
CB-3P-20A,HomePro,588.0,set,https://www.homepro.co.th/search?q=MCB%203P%2020A,2026-01-27
CB-3P-32A,HomePro,1450.0,set,https://www.homepro.co.th/search?q=MCB%203P%2032A,2026-01-27
CB-3P-50A,HomePro,588.0,set,https://www.homepro.co.th/search?q=%E0%B9%80%E0%B8%9A%E0%B8%A3%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%203%20%E0%B9%80%E0%B8%9F%E0%B8%AA%2050A,2026-01-27
CB-3P-63A,HomePro,2830.0,set,https://www.homepro.co.th/search?q=%E0%B9%80%E0%B8%9A%E0%B8%A3%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%203%20%E0%B9%80%E0%B8%9F%E0%B8%AA%2063A,2026-01-27
CB-3P-100A,HomePro,870.0,set,https://www.homepro.co.th/search?q=MCCB%203P%20100A,2026-01-27
RCBO-3P-32A,HomePro,1450.0,set,https://www.homepro.co.th/search?q=RCBO%203P%2032A,2026-01-27
RCBO-3P-40A,HomePro,588.0,set,https://www.homepro.co.th/search?q=RCBO%203P%2040A,2026-01-27
WIRE-THW-2.5,HomePro,1275.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%B2%E0%B8%A2%20THW%202.5,2026-01-27
WIRE-THW-4.0,HomePro,990.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%B2%E0%B8%A2%20THW%204.0,2026-01-27
WIRE-THW-6.0,HomePro,3190.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%B2%E0%B8%A2%20THW%206,2026-01-27
WIRE-THW-10,HomePro,990.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%B2%E0%B8%A2%20THW%2010,2026-01-27
WIRE-THW-16,HomePro,990.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%B2%E0%B8%A2%20THW%2016,2026-01-27
WIRE-THW-25,HomePro,1450.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%B2%E0%B8%A2%20THW%2025,2026-01-27
WIRE-THW-35,HomePro,1890.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%B2%E0%B8%A2%20THW%2035,2026-01-27
WIRE-THW-50,HomePro,999.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%B2%E0%B8%A2%20THW%2050,2026-01-27
CABLE-NYY-3C-10,HomePro,9990.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%B2%E0%B8%A2%20NYY%203x10,2026-01-27
CABLE-NYY-3C-16,HomePro,5090.0,set,https://www.homepro.co.th/search?q=NYY%203%20core%2016,2026-01-27
CABLE-NYY-3C-25,HomePro,7390.0,set,https://www.homepro.co.th/search?q=NYY%203%20core%2025,2026-01-27
